dataset,split_strategy,metric,model_a,model_b,n_pairs,mean_delta,median_delta,statistic,p_value,p_holm
esol,scaffold,rmse,rf_rdkit,xgb_rdkit_morgan,10,0.10157912092526189,0.09185840670569723,0.0,0.001953125,0.0546875
esol,scaffold,rmse,rf_rdkit_morgan,xgb_rdkit_morgan,10,0.2550621740063643,0.26138364724686153,0.0,0.001953125,0.0546875
esol,scaffold,mae,edge_gnn,hybrid_concat,10,0.2397968586433749,0.25180603217302155,0.0,0.001953125,0.0546875
esol,scaffold,mae,edge_gnn,hybrid_gated,10,0.264012769732032,0.25279832709416444,0.0,0.001953125,0.0546875
esol,scaffold,mae,edge_gnn,mean_baseline,10,-0.8973061630935689,-0.9046242577451016,0.0,0.001953125,0.0546875
esol,scaffold,mae,edge_gnn,node_gnn,10,-0.017476964988950693,0.00046979807892061354,20.0,0.4921875,0.984375
esol,scaffold,mae,edge_gnn,rf_rdkit,10,0.20090424617524852,0.22054366034990364,0.0,0.001953125,0.0546875
esol,scaffold,mae,edge_gnn,rf_rdkit_morgan,10,0.08285119987724812,0.12007187032959832,7.0,0.037109375,0.22265625
esol,scaffold,mae,edge_gnn,xgb_rdkit_morgan,10,0.2779987333802714,0.2814063217435224,0.0,0.001953125,0.0546875
esol,scaffold,mae,hybrid_concat,hybrid_gated,10,0.02421591108865708,0.02615331326341419,8.0,0.048828125,0.244140625
esol,scaffold,mae,hybrid_concat,mean_baseline,10,-1.1371030217369438,-1.2035641370293484,0.0,0.001953125,0.0546875
esol,scaffold,mae,hybrid_concat,node_gnn,10,-0.25727382363232565,-0.25013359240903504,0.0,0.001953125,0.0546875
esol,scaffold,mae,hybrid_concat,rf_rdkit,10,-0.03889261246812644,-0.04645588674660356,13.0,0.16015625,0.48046875
esol,scaffold,mae,hybrid_concat,rf_rdkit_morgan,10,-0.15694565876612684,-0.16801222664496002,2.0,0.005859375,0.0546875
esol,scaffold,mae,hybrid_concat,xgb_rdkit_morgan,10,0.03820187473689647,0.023576856047825057,11.0,0.10546875,0.421875
esol,scaffold,mae,hybrid_gated,mean_baseline,10,-1.1613189328256008,-1.2273358998910595,0.0,0.001953125,0.0546875
esol,scaffold,mae,hybrid_gated,node_gnn,10,-0.28148973472098276,-0.23294487811682185,0.0,0.001953125,0.0546875
esol,scaffold,mae,hybrid_gated,rf_rdkit,10,-0.06310852355678352,-0.07996621602430204,5.0,0.01953125,0.15625
esol,scaffold,mae,hybrid_gated,rf_rdkit_morgan,10,-0.1811615698547839,-0.1942649520021305,0.0,0.001953125,0.0546875
esol,scaffold,mae,hybrid_gated,xgb_rdkit_morgan,10,0.013985963648239386,0.009556727019972844,22.0,0.625,0.984375
esol,scaffold,mae,mean_baseline,node_gnn,10,0.8798291981046182,0.8659242142140691,0.0,0.001953125,0.0546875
esol,scaffold,mae,mean_baseline,rf_rdkit,10,1.0982104092688174,1.1265433210371985,0.0,0.001953125,0.0546875
esol,scaffold,mae,mean_baseline,rf_rdkit_morgan,10,0.9801573629708171,0.9956462093127925,0.0,0.001953125,0.0546875
esol,scaffold,mae,mean_baseline,xgb_rdkit_morgan,10,1.1753048964738404,1.2160769354014487,0.0,0.001953125,0.0546875
esol,scaffold,mae,node_gnn,rf_rdkit,10,0.21838121116419923,0.22470126729838014,0.0,0.001953125,0.0546875
esol,scaffold,mae,node_gnn,rf_rdkit_morgan,10,0.10032816486619882,0.12827483723588,6.0,0.02734375,0.19140625
esol,scaffold,mae,node_gnn,xgb_rdkit_morgan,10,0.2954756983692221,0.31258341031137044,0.0,0.001953125,0.0546875
esol,scaffold,mae,rf_rdkit,rf_rdkit_morgan,10,-0.11805304629800037,-0.11863616098351115,0.0,0.001953125,0.0546875
esol,scaffold,mae,rf_rdkit,xgb_rdkit_morgan,10,0.0770944872050229,0.07443071110816618,0.0,0.001953125,0.0546875
esol,scaffold,mae,rf_rdkit_morgan,xgb_rdkit_morgan,10,0.19514753350302333,0.20597926031634978,0.0,0.001953125,0.0546875
