dataset,split_strategy,model,rmse_mean,rmse_std,rmse_count,mae_mean,mae_std,mae_count,r2_mean,r2_std,r2_count
freesolv,scaffold,edge_gnn,2.30555478450029,0.21677577827206004,10,1.7460847609478254,0.1586117057269631,10,0.592786025652196,0.12601723821060296,10
freesolv,scaffold,hybrid_concat,1.7782597491382375,0.36822578727104704,10,1.3247864037375288,0.2436717365661198,10,0.7613407320137159,0.07932635050295196,10
freesolv,scaffold,hybrid_gated,1.7579407596998973,0.29577264420370164,10,1.3482178433118186,0.20699149960449348,10,0.7571280956885827,0.09424806531231181,10
freesolv,scaffold,mean_baseline,4.333699139064758,0.7213445480348634,10,2.898278365204151,0.36799343001431484,10,-0.3744570868009717,0.2179324363377355,10
freesolv,scaffold,node_gnn,2.4048251207397104,0.4307196234449504,10,1.7987585858942683,0.2934857661782162,10,0.5520816823199762,0.21115217492877875,10
freesolv,scaffold,rf_rdkit,2.443861224959142,0.39730938385498094,10,1.9544821790049571,0.2704386941371462,10,0.5548780544249111,0.1126469560658373,10
freesolv,scaffold,rf_rdkit_morgan,2.7227577130434826,0.519305745674654,10,2.0100810306925982,0.31906607440571033,10,0.45437594211601073,0.12912681956154257,10
freesolv,scaffold,xgb_rdkit_morgan,3.2066550603362467,0.4830481375394157,10,2.624630459025776,0.38961081941106956,10,0.2034639031876909,0.3165993570709369,10
lipophilicity,random,edge_gnn,0.6171339656017883,0.07015515078829358,10,0.44114095802737535,0.0236362430999724,10,0.7345729091429303,0.07622064419456251,10
lipophilicity,random,hybrid_concat,0.6259524246026233,0.04276096049531931,10,0.4544196500266443,0.028181386127266214,10,0.7303470528327167,0.03955657889596749,10
lipophilicity,random,hybrid_gated,0.6239864050277838,0.044534121897645634,10,0.4526945494670274,0.026006601157419682,10,0.7317230939501339,0.043533768490643984,10
lipophilicity,random,mean_baseline,1.2098032867833557,0.03364027836458139,10,0.9826385537222115,0.0277218991836468,10,-0.0013094862686776163,0.002109704977179568,10
lipophilicity,random,node_gnn,0.6325957685598004,0.053027229238523016,10,0.4577353920416785,0.020059245781678323,10,0.7232317852704351,0.05756749192738095,10
lipophilicity,random,rf_rdkit,0.7441049582515957,0.0320724389064107,10,0.5724509763858194,0.024056640106874295,10,0.6206660919406087,0.02778642033547725,10
lipophilicity,random,rf_rdkit_morgan,0.7663460784277427,0.0339158963166037,10,0.5907177732529105,0.024865202963443075,10,0.597770515302739,0.028181854374303546,10
lipophilicity,random,xgb_rdkit_morgan,0.6390810712486601,0.037089136651983864,10,0.47760592092676973,0.02727345271065152,10,0.7200010097806542,0.028210664614258855,10
lipophilicity,scaffold,edge_gnn,0.6821891188403406,0.014067822631967687,10,0.5164694740417003,0.011004242950954353,10,0.6648067904602113,0.016373485709229762,10
lipophilicity,scaffold,hybrid_concat,0.744951259325654,0.02418592188572591,10,0.5635795010589091,0.02295260854524493,10,0.6001158100352104,0.02763558562193875,10
lipophilicity,scaffold,hybrid_gated,0.751857049490665,0.024697490423118865,10,0.5671934138937522,0.023626165831346198,10,0.5927079114953677,0.02711481011162747,10
lipophilicity,scaffold,mean_baseline,1.1822937035709782,0.03309875313250862,10,0.9600240591803784,0.03124031627855386,10,-0.005403543639148261,0.006237344577415882,10
lipophilicity,scaffold,node_gnn,0.7025736416882824,0.023644213253722943,10,0.5336478642497913,0.01728626739173631,10,0.6440139298777601,0.02968786667782001,10
lipophilicity,scaffold,rf_rdkit,0.8391432820183242,0.023808706691766997,10,0.6644034615028198,0.016027588060778503,10,0.4931045671516525,0.022344397263964685,10
