dataset,split_strategy,model,similarity_bin,n,mean_similarity,mae,rmse,empirical_coverage
freesolv,scaffold,hybrid_gated,"(0.2,0.4]",283,0.3312671021836516,1.3897146294897387,1.7568949096222757,0.950530035335689
freesolv,scaffold,hybrid_gated,"(0.4,0.6]",112,0.47360823804856045,1.116477370781349,1.2541264212380037,1.0
freesolv,scaffold,hybrid_gated,"(0.6,0.8]",2,0.7560975609756098,1.5218432133361144,1.5330369919972755,1.0
freesolv,scaffold,mean_baseline,"(0.0,0.2]",163,0.12185836705272621,3.72224277183429,5.579438682248598,0.9202453987730062
freesolv,scaffold,mean_baseline,"(0.2,0.4]",283,0.3312671021836516,3.0819334823419773,4.244261677889381,0.9328621908127208
freesolv,scaffold,mean_baseline,"(0.4,0.6]",112,0.47360823804856045,1.2745229419440336,2.3271081346701195,0.9642857142857143
freesolv,scaffold,mean_baseline,"(0.6,0.8]",2,0.7560975609756098,0.688283852412034,0.688283852412034,1.0
freesolv,scaffold,node_gnn,"(0.0,0.2]",163,0.12185836705272621,2.02658329679765,2.9313322959971204,0.8466257668711656
freesolv,scaffold,node_gnn,"(0.2,0.4]",283,0.3312671021836516,1.565045796158088,1.9807784671946995,0.9469964664310954
freesolv,scaffold,node_gnn,"(0.4,0.6]",112,0.47360823804856045,1.3102416801369021,1.6367950295098617,0.9732142857142857
freesolv,scaffold,node_gnn,"(0.6,0.8]",2,0.7560975609756098,2.288857454192159,2.3035510381763227,1.0
freesolv,scaffold,rf_rdkit,"(0.0,0.2]",163,0.12185836705272621,1.9984709969546834,3.04374275662482,0.8588957055214724
freesolv,scaffold,rf_rdkit,"(0.2,0.4]",283,0.3312671021836516,1.9806520994901038,2.295525506325217,0.9575971731448764
freesolv,scaffold,rf_rdkit,"(0.4,0.6]",112,0.47360823804856045,1.8263238679978469,1.9027990767315601,1.0
freesolv,scaffold,rf_rdkit,"(0.6,0.8]",2,0.7560975609756098,1.8557099415212903,1.8592137894175995,1.0
freesolv,scaffold,rf_rdkit_morgan,"(0.0,0.2]",163,0.12185836705272621,2.3168120350645682,3.7230783917969865,0.8773006134969326
freesolv,scaffold,rf_rdkit_morgan,"(0.2,0.4]",283,0.3312671021836516,2.052716541986747,2.4754521860879266,0.9540636042402827
freesolv,scaffold,rf_rdkit_morgan,"(0.4,0.6]",112,0.47360823804856045,1.4544549481221676,1.575313658854711,1.0
freesolv,scaffold,rf_rdkit_morgan,"(0.6,0.8]",2,0.7560975609756098,1.8312749390266876,1.83132125880043,1.0
freesolv,scaffold,xgb_rdkit_morgan,"(0.0,0.2]",163,0.12185836705272621,4.597975650090969,5.118462395763373,0.901840490797546
freesolv,scaffold,xgb_rdkit_morgan,"(0.2,0.4]",283,0.3312671021836516,1.879514069357723,2.2038425221792015,0.9893992932862191
freesolv,scaffold,xgb_rdkit_morgan,"(0.4,0.6]",112,0.47360823804856045,1.713499381812402,1.7731880342526987,1.0
freesolv,scaffold,xgb_rdkit_morgan,"(0.6,0.8]",2,0.7560975609756098,1.0519468731428516,1.0545657724941866,1.0
lipophilicity,random,edge_gnn,"(0.0,0.2]",12,0.17422219920124238,0.8059099241929853,0.9527693217386086,0.5833333333333334
lipophilicity,random,edge_gnn,"(0.2,0.4]",832,0.32023035294025876,0.637051281524298,0.8951364060176614,0.7908653846153846
lipophilicity,random,edge_gnn,"(0.4,0.6]",748,0.5016404781433809,0.5220237423627836,0.7040701073707987,0.8649732620320856
lipophilicity,random,edge_gnn,"(0.6,0.8]",1668,0.7186756798208712,0.3791681214208526,0.5027315594423168,0.9370503597122302
lipophilicity,random,edge_gnn,"(0.8,1.0]",940,0.8738569453846952,0.3089849580698483,0.4064241417410539,0.9702127659574468
lipophilicity,random,hybrid_concat,"(0.0,0.2]",12,0.17422219920124238,0.6542709332306562,0.8118442234919346,0.75
lipophilicity,random,hybrid_concat,"(0.2,0.4]",832,0.32023035294025876,0.6369091600200493,0.843719930196947,0.8076923076923077
lipophilicity,random,hybrid_concat,"(0.4,0.6]",748,0.5016404781433809,0.5435714172571442,0.7395347207237332,0.856951871657754
lipophilicity,random,hybrid_concat,"(0.6,0.8]",1668,0.7186756798208712,0.39355030625794957,0.5236691140049755,0.9310551558752997
