dataset,property,units,split_strategy,seed,model,family,features,fusion,best_epoch,train_seconds,n_parameters,git_commit,conformal_alpha,conformal_radius,partition,n,rmse,mae,r2,empirical_coverage,mean_interval_width
esol,aqueous_solubility,log10(mol/L),random,2027,edge_gnn,edge_gnn,none,none,27,8.886842888000047,261125,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.4527461635630785,validation,112,0.6901018675457998,0.5235938204725218,0.8896936149483669,0.9553571428571428,2.905492327126157
esol,aqueous_solubility,log10(mol/L),random,2027,edge_gnn,edge_gnn,none,none,27,8.886842888000047,261125,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.4527461635630785,calibration,112,0.755529881490846,0.5499174924961807,0.8555754336583163,0.9196428571428572,2.905492327126157
esol,aqueous_solubility,log10(mol/L),random,2027,edge_gnn,edge_gnn,none,none,27,8.886842888000047,261125,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.4527461635630785,test,111,0.8218519615136041,0.613324877792269,0.8641305516990685,0.945945945945946,2.905492327126157
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_concat,edge_gnn,rdkit,concat,24,8.815906458000086,314629,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.032575599077759,train,782,0.2479737919991818,0.1813859681789919,0.9858113304854972,0.9974424552429668,2.065151198155518
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_concat,edge_gnn,rdkit,concat,24,8.815906458000086,314629,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.032575599077759,validation,112,0.6775566364123714,0.4876288759759583,0.8936676398505992,0.875,2.065151198155518
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_concat,edge_gnn,rdkit,concat,24,8.815906458000086,314629,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.032575599077759,calibration,112,0.5859345625659899,0.4190183097169174,0.9131367620688612,0.9196428571428572,2.065151198155518
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_concat,edge_gnn,rdkit,concat,24,8.815906458000086,314629,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.032575599077759,test,111,0.6904008861542307,0.5046975395199859,0.9041179523579848,0.8648648648648649,2.065151198155518
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_gated,edge_gnn,rdkit,gated,46,12.881975872999988,331141,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.1122313013709215,train,782,0.2296963483976639,0.1776579514702608,0.98782586008586,1.0,2.224462602741843
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_gated,edge_gnn,rdkit,gated,46,12.881975872999988,331141,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.1122313013709215,validation,112,0.6870210479476508,0.4986114953715011,0.890676297444162,0.9196428571428572,2.224462602741843
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_gated,edge_gnn,rdkit,gated,46,12.881975872999988,331141,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.1122313013709215,calibration,112,0.6111521249313633,0.4413160401601352,0.9054989936565762,0.9196428571428572,2.224462602741843
esol,aqueous_solubility,log10(mol/L),random,2027,hybrid_gated,edge_gnn,rdkit,gated,46,12.881975872999988,331141,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,1.1122313013709215,test,111,0.6807535553645468,0.5031855273879807,0.9067788499754328,0.8918918918918919,2.224462602741843
esol,aqueous_solubility,log10(mol/L),random,2028,mean_baseline,mean,none,none,0,8.557000001019333e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.75130320850836,train,782,2.090189587943861,1.6567210299117223,0.0,0.9156010230179028,7.502606417016719
esol,aqueous_solubility,log10(mol/L),random,2028,mean_baseline,mean,none,none,0,8.557000001019333e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.75130320850836,validation,112,2.0649724462165526,1.7313779712041142,-0.0588111073913026,0.9642857142857144,7.502606417016719
esol,aqueous_solubility,log10(mol/L),random,2028,mean_baseline,mean,none,none,0,8.557000001019333e-06,0,77abfcdbb281d08df2e9fb09cf84b2a648ea9008,0.1,3.75130320850836,calibration,112,2.1223491556642675,1.664310618237831,-0.0005174855576544,0.9196428571428572,7.502606417016719
