dataset,split_strategy,family_id,metric,metric_role,contrast,question,model_a,model_b,n_pairs,mean_a,mean_b,mean_delta,median_delta,ci_low,ci_high,rank_biserial,statistic,p_value,p_holm,p_corrected_t,p_corrected_t_holm,corrected_ci_low,corrected_ci_high,favors,significant_holm
freesolv,scaffold,freesolv:scaffold:mae,mae,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,1.2023864963114304,1.6923785879030107,-0.4899920915915801,-0.4473003236677251,-0.7297988940525316,-0.25018528913062854,-0.9636363636363636,1.0,0.00390625,0.015625,0.01580408948314038,0.0790204474157019,-0.8637040017598423,-0.11628018142331781,hybrid_concat,True
freesolv,scaffold,freesolv:scaffold:mae,mae,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,1.31556008508205,1.2023864963114304,0.11317358877061931,0.0804776684132471,0.03991296221437149,0.18643421532686713,1.0,0.0,0.001953125,0.009765625,0.05163664026151096,0.20654656104604385,-0.000994851863658358,0.22734202940489698,hybrid_concat,True
freesolv,scaffold,freesolv:scaffold:mae,mae,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,2.009144012795554,1.9545268031394898,0.0546172096560642,0.041750481038124065,0.013311278999799774,0.09592314031232863,0.8181818181818182,5.0,0.01953125,0.041015625,0.08714085752480923,0.20654656104604385,-0.009753434080549309,0.11898785339267771,rf_rdkit,True
freesolv,scaffold,freesolv:scaffold:mae,mae,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,2.63462203053989,2.009144012795554,0.6254780177443358,0.7259327159642964,0.19601431922167983,1.0549417162669916,0.8545454545454545,4.0,0.013671875,0.041015625,0.06364089396033083,0.20654656104604385,-0.04379281809428681,1.2947488535829583,rf_rdkit_morgan,True
freesolv,scaffold,freesolv:scaffold:r2,r2,secondary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.6103563459858921,0.6266368183264653,-0.016280472340573247,0.004960592332406755,-0.09346671936518564,0.060905774684039134,-0.16363636363636364,23.0,0.6953125,0.6953125,0.7664333017852217,0.7664333017852217,-0.13656655062638098,0.10400560594523447,node_gnn,False
freesolv,scaffold,freesolv:scaffold:r2,r2,secondary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.8050417702598143,0.6103563459858921,0.19468542427392216,0.14613960214568517,0.06757837730734223,0.3217924712405021,1.0,0.0,0.001953125,0.009765625,0.053270500836907174,0.2130820033476287,-0.003396601883206618,0.39276745043105094,hybrid_concat,True
freesolv,scaffold,freesolv:scaffold:r2,r2,secondary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.775254513816907,0.8050417702598143,-0.02978725644290714,-0.0261818841252775,-0.0535476555755252,-0.006026857310289076,-0.7818181818181819,6.0,0.02734375,0.08203125,0.10213535270452835,0.30640605811358507,-0.06681516413813152,0.007240651252317237,hybrid_concat,False
freesolv,scaffold,freesolv:scaffold:r2,r2,secondary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.45511368505681044,0.5554801097030417,-0.10036642464623124,-0.10816487367269606,-0.12521585245027325,-0.07551699684218924,-1.0,0.0,0.001953125,0.009765625,0.00023984617604610884,0.0011992308802305442,-0.13909146095019104,-0.061641388342271446,rf_rdkit,True
freesolv,scaffold,freesolv:scaffold:r2,r2,secondary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.20032008117768774,0.45511368505681044,-0.2547936038791228,-0.22373958384530285,-0.500864460168088,-0.008722747590157592,-0.6363636363636364,10.0,0.083984375,0.16796875,0.16707463959105387,0.33414927918210774,-0.6382673368874399,0.12868012912919424,rf_rdkit_morgan,False
lipophilicity,random,lipophilicity:random:rmse,rmse,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.6185197031385876,0.632071934625046,-0.013552231486458422,-0.018167203691703604,-0.03097833235227042,0.0038738693793535766,-0.5636363636363636,12.0,0.130859375,0.392578125,0.2881286879445207,0.8643860638335621,-0.04070884829013661,0.013604385317219763,edge_gnn,False
lipophilicity,random,lipophilicity:random:rmse,rmse,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.6246273645090641,0.6185197031385876,0.0061076613704766245,0.019571873972773546,-0.03069797404105402,0.04291329678200727,0.2727272727272727,20.0,0.4921875,0.984375,0.8150429032774342,1.0,-0.051249778758184754,0.063465101499138,edge_gnn,False
lipophilicity,random,lipophilicity:random:rmse,rmse,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.6219060483782717,0.6246273645090641,-0.002721316130792495,0.0009299424581758475,-0.012876287270117906,0.0074336550085329165,-0.2,22.0,0.625,0.984375,0.7063207796495807,1.0,-0.018546695658126094,0.013104063396541103,hybrid_gated,False
lipophilicity,random,lipophilicity:random:rmse,rmse,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.766416318748417,0.7441678212592293,0.022248497489187648,0.0212290331068839,0.0193785688226088,0.025118426155766496,1.0,0.0,0.001953125,0.009765625,1.3284240066578732e-06,5.313696026631493e-06,0.017776036687294935,0.02672095829108036,rf_rdkit,True
lipophilicity,random,lipophilicity:random:rmse,rmse,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.639352891573895,0.766416318748417,-0.12706342717452196,-0.12704864261502236,-0.1389502392997063,-0.11517661504933761,-1.0,0.0,0.001953125,0.009765625,8.402942753766742e-08,4.201471376883371e-07,-0.1455876859508644,-0.10853916839817951,xgb_rdkit_morgan,True
lipophilicity,random,lipophilicity:random:mae,mae,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.4412070551717937,0.45844810301323696,-0.017241047841443268,-0.01686399513164441,-0.03198182240150576,-0.0025002732813807754,-0.7818181818181819,6.0,0.02734375,0.08203125,0.12376944106396931,0.37130832319190793,-0.040212885844652935,0.005730790161766398,edge_gnn,False
lipophilicity,random,lipophilicity:random:mae,mae,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.45319592821827764,0.4412070551717937,0.011988873046483911,0.007402319767461474,-0.0056922843742517396,0.02967003046721956,0.4909090909090909,14.0,0.193359375,0.38671875,0.35070080341363175,0.7014016068272635,-0.015565220690138971,0.039542966783106794,edge_gnn,False
lipophilicity,random,lipophilicity:random:mae,mae,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.45153474802149596,0.45319592821827764,-0.001661180196781642,-0.0015573988557479046,-0.010377696288002284,0.0070553358944390005,-0.09090909090909091,25.0,0.845703125,0.845703125,0.7883018541116346,0.7883018541116346,-0.015244889437026753,0.01192252904346347,hybrid_gated,False
lipophilicity,random,lipophilicity:random:mae,mae,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.5907984191130676,0.5725534979384284,0.018244921174639227,0.01803878082816457,0.015554984620229122,0.020934857729049332,1.0,0.0,0.001953125,0.009765625,4.072023570511278e-06,1.6288094282045113e-05,0.014052957820539946,0.02243688452873851,rf_rdkit,True
lipophilicity,random,lipophilicity:random:mae,mae,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.4781833516458368,0.5907984191130676,-0.11261506746723082,-0.11340038185673984,-0.12009571604731907,-0.10513441888714257,-1.0,0.0,0.001953125,0.009765625,4.151001258704309e-09,2.0755006293521545e-08,-0.12427281629450813,-0.10095731863995351,xgb_rdkit_morgan,True
lipophilicity,random,lipophilicity:random:r2,r2,secondary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.7334338941290912,0.723668934458231,0.009764959670860385,0.014698319827432305,-0.006835616930049516,0.026365536271770285,0.5272727272727272,13.0,0.16015625,0.48046875,0.4153220493780495,1.0,-0.016105170482894476,0.035635089824615246,edge_gnn,False
lipophilicity,random,lipophilicity:random:r2,r2,secondary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.7315447843280454,0.7334338941290912,-0.0018891098010459851,-0.016916994632856286,-0.0378665812414419,0.034088361639349925,-0.2727272727272727,20.0,0.4921875,0.984375,0.9409108497790291,1.0,-0.057955949594732756,0.05417772999264078,edge_gnn,False
lipophilicity,random,lipophilicity:random:r2,r2,secondary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.7335439504503773,0.7315447843280454,0.001999166122331897,-0.0007417874369827215,-0.006959768756667898,0.010958101001331691,0.16363636363636364,23.0,0.6953125,0.984375,0.7533982899765682,1.0,-0.011962325513207752,0.015960657757871546,hybrid_gated,False
lipophilicity,random,lipophilicity:random:r2,r2,secondary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.597698976057853,0.6206073908519827,-0.02290841479412965,-0.02163998507003434,-0.025489709432366142,-0.020327120155893157,-1.0,0.0,0.001953125,0.009765625,4.197277741717106e-07,1.6789110966868424e-06,-0.026931071950068886,-0.018885757638190413,rf_rdkit,True
lipophilicity,random,lipophilicity:random:r2,r2,secondary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.7197680026057515,0.597698976057853,0.12206902654789831,0.12360274987850073,0.11145306801704175,0.13268498507875487,1.0,0.0,0.001953125,0.009765625,4.445598727251068e-08,2.222799363625534e-07,0.10552525005732324,0.13861280303847337,xgb_rdkit_morgan,True
lipophilicity,scaffold,lipophilicity:scaffold:rmse,rmse,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.6821891188403406,0.7025736416882824,-0.02038452284794181,-0.017765088138647633,-0.03206113535879621,-0.008707910337087408,-0.9636363636363636,1.0,0.00390625,0.009765625,0.03201701941910063,0.06403403883820126,-0.03858120918437957,-0.0021878365115040425,edge_gnn,True
lipophilicity,scaffold,lipophilicity:scaffold:rmse,rmse,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.744951259325654,0.6821891188403406,0.06276214048531334,0.06434384580852248,0.05236847676466018,0.0731558042059665,1.0,0.0,0.001953125,0.009765625,1.0590862530531929e-05,4.2363450122127716e-05,0.04656478543603636,0.07895949553459032,edge_gnn,True
lipophilicity,scaffold,lipophilicity:scaffold:rmse,rmse,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.7518570494906651,0.744951259325654,0.0069057901650110606,0.00724424555707992,-0.003829610106915557,0.017641190436937678,0.41818181818181815,16.0,0.275390625,0.275390625,0.3747931464413611,0.3747931464413611,-0.009824122835250288,0.023635703165272408,hybrid_concat,False
lipophilicity,scaffold,lipophilicity:scaffold:rmse,rmse,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.8677614291357019,0.8391432820183242,0.028618147117377625,0.02670635060029186,0.02263613131413814,0.034600162920617114,1.0,0.0,0.001953125,0.009765625,6.725494869663798e-05,0.00020176484608991393,0.019295848794128927,0.03794044544062632,rf_rdkit,True
lipophilicity,scaffold,lipophilicity:scaffold:rmse,rmse,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.7421561989387582,0.8677614291357019,-0.12560523019694372,-0.12250412597719651,-0.13640822904260705,-0.1148022313512804,-1.0,0.0,0.001953125,0.009765625,4.034566245044408e-08,2.017283122522204e-07,-0.14244048796581277,-0.1087699724280747,xgb_rdkit_morgan,True
lipophilicity,scaffold,lipophilicity:scaffold:mae,mae,primary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.5164694740417002,0.5336478642497912,-0.01717839020809092,-0.01853574342678166,-0.025109157413767604,-0.009247623002414239,-1.0,0.0,0.001953125,0.009765625,0.01184702827325718,0.02369405654651436,-0.029537598250222473,-0.0048191821659593695,edge_gnn,True
lipophilicity,scaffold,lipophilicity:scaffold:mae,mae,primary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.5635795010589091,0.5164694740417002,0.04711002701720872,0.04921725628013912,0.03133151680227743,0.06288853723214001,1.0,0.0,0.001953125,0.009765625,0.001893835875429825,0.005681507626289475,0.022520994798276666,0.07169905923614077,edge_gnn,True
lipophilicity,scaffold,lipophilicity:scaffold:mae,mae,primary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.5671934138937523,0.5635795010589091,0.003613912834843225,0.006762374261875148,-0.008209494430703563,0.015437320100390011,0.45454545454545453,15.0,0.232421875,0.232421875,0.667739790718503,0.667739790718503,-0.014811536604291372,0.022039362273977823,hybrid_concat,False
lipophilicity,scaffold,lipophilicity:scaffold:mae,mae,primary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.6896438780120528,0.6644034615028198,0.025240416509232977,0.024621695716022463,0.019793967397464557,0.030686865621001397,1.0,0.0,0.001953125,0.009765625,8.584623114926342e-05,0.00034338492459705367,0.016752738593905102,0.03372809442456085,rf_rdkit,True
lipophilicity,scaffold,lipophilicity:scaffold:mae,mae,primary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.5705024228231712,0.6896438780120528,-0.11914145518888142,-0.11993787434167791,-0.12985832664233013,-0.1084245837354327,-1.0,0.0,0.001953125,0.009765625,5.969177579142971e-08,2.984588789571486e-07,-0.13584249311105706,-0.10244041726670576,xgb_rdkit_morgan,True
lipophilicity,scaffold,lipophilicity:scaffold:r2,r2,secondary,edge_vs_node,Effect of explicit bond-edge attributes,edge_gnn,node_gnn,10,0.6648067904602113,0.6440139298777601,0.020792860582451167,0.017387055146243002,0.008156794195495873,0.03342892696940646,0.9636363636363636,1.0,0.00390625,0.009765625,0.04064828709116857,0.08129657418233714,0.0011009733714911103,0.04048474779341123,edge_gnn,True
lipophilicity,scaffold,lipophilicity:scaffold:r2,r2,secondary,concat_vs_edge,Effect of adding RDKit descriptors to edge-aware GNN,hybrid_concat,edge_gnn,10,0.6001158100352104,0.6648067904602113,-0.06469098042500089,-0.06305361700485856,-0.07647706584902156,-0.05290489500098022,-1.0,0.0,0.001953125,0.009765625,2.2866451946249323e-05,9.146580778499729e-05,-0.08305826797487884,-0.04632369287512294,edge_gnn,True
lipophilicity,scaffold,lipophilicity:scaffold:r2,r2,secondary,gated_vs_concat,Effect of gated rather than concatenated fusion,hybrid_gated,hybrid_concat,10,0.5927079114953677,0.6001158100352104,-0.007407898539842628,-0.00807527037060568,-0.018790503384735573,0.003974706305050317,-0.5272727272727272,13.0,0.16015625,0.16015625,0.3694740520617382,0.3694740520617382,-0.02514640702092761,0.010330609941242352,hybrid_concat,False
lipophilicity,scaffold,lipophilicity:scaffold:r2,r2,secondary,morgan_vs_rdkit_rf,Effect of adding Morgan fingerprints to Random Forest,rf_rdkit_morgan,rf_rdkit,10,0.4581974251080541,0.4931045671516525,-0.03490714204359844,-0.03246074450846928,-0.041516847160805635,-0.028297436926391244,-1.0,0.0,0.001953125,0.009765625,3.10632735757793e-05,9.31898207273379e-05,-0.045207623513062414,-0.024606660574134465,rf_rdkit,True
lipophilicity,scaffold,lipophilicity:scaffold:r2,r2,secondary,xgb_vs_rf_morgan,Effect of XGBoost rather than Random Forest,xgb_rdkit_morgan,rf_rdkit_morgan,10,0.6034674879213286,0.4581974251080541,0.14527006281327456,0.14433799599555935,0.13435960056397775,0.15618052506257138,1.0,0.0,0.001953125,0.009765625,1.2272819191710977e-08,6.136409595855489e-08,0.12826733542539173,0.1622727902011574,xgb_rdkit_morgan,True
