dataset,split_strategy,metric,contrast,seed,model_a,model_b,value_a,value_b,difference_a_minus_b
esol,random,r2,edge_vs_node,2029,edge_gnn,node_gnn,0.8869584397241723,0.8710367189072123,0.015921720816959972
esol,random,r2,edge_vs_node,2030,edge_gnn,node_gnn,0.9060497958712178,0.8811560522096555,0.024893743661562273
esol,random,r2,edge_vs_node,2031,edge_gnn,node_gnn,0.8955952327753789,0.9079050673940932,-0.012309834618714266
esol,random,r2,edge_vs_node,2032,edge_gnn,node_gnn,0.919452832382742,0.9022674909670936,0.017185341415648425
esol,random,r2,edge_vs_node,2033,edge_gnn,node_gnn,0.8654583999708851,0.8446204320051554,0.020837967965729787
esol,random,r2,edge_vs_node,2034,edge_gnn,node_gnn,0.916453820448636,0.909668604706095,0.006785215742540984
esol,random,r2,edge_vs_node,2035,edge_gnn,node_gnn,0.8906066731324489,0.8791344435277092,0.011472229604739703
esol,random,r2,concat_vs_edge,2026,hybrid_concat,edge_gnn,0.8619303488922995,0.8310417869385343,0.030888561953765215
esol,random,r2,concat_vs_edge,2027,hybrid_concat,edge_gnn,0.9041179523579848,0.8641305516990685,0.03998740065891626
esol,random,r2,concat_vs_edge,2028,hybrid_concat,edge_gnn,0.9336085102937486,0.9024044212964274,0.03120408899732119
esol,random,r2,concat_vs_edge,2029,hybrid_concat,edge_gnn,0.9094630865308372,0.8869584397241723,0.022504646806664863
esol,random,r2,concat_vs_edge,2030,hybrid_concat,edge_gnn,0.9086129019317992,0.9060497958712178,0.0025631060605814104
esol,random,r2,concat_vs_edge,2031,hybrid_concat,edge_gnn,0.9459395967667988,0.8955952327753789,0.05034436399141995
esol,random,r2,concat_vs_edge,2032,hybrid_concat,edge_gnn,0.9315292574373308,0.919452832382742,0.012076425054588835
esol,random,r2,concat_vs_edge,2033,hybrid_concat,edge_gnn,0.9293298207886274,0.8654583999708851,0.06387142081774222
esol,random,r2,concat_vs_edge,2034,hybrid_concat,edge_gnn,0.9202604884340022,0.916453820448636,0.003806667985366219
esol,random,r2,concat_vs_edge,2035,hybrid_concat,edge_gnn,0.9338909060077052,0.8906066731324489,0.04328423287525629
esol,random,r2,gated_vs_concat,2026,hybrid_gated,hybrid_concat,0.8624076585065152,0.8619303488922995,0.00047730961421577067
esol,random,r2,gated_vs_concat,2027,hybrid_gated,hybrid_concat,0.9067788499754328,0.9041179523579848,0.0026608976174480325
esol,random,r2,gated_vs_concat,2028,hybrid_gated,hybrid_concat,0.9341556216428408,0.9336085102937486,0.0005471113490922441
esol,random,r2,gated_vs_concat,2029,hybrid_gated,hybrid_concat,0.903374963344395,0.9094630865308372,-0.00608812318644214
esol,random,r2,gated_vs_concat,2030,hybrid_gated,hybrid_concat,0.9125932086844878,0.9086129019317992,0.003980306752688567
esol,random,r2,gated_vs_concat,2031,hybrid_gated,hybrid_concat,0.9389803831816834,0.9459395967667988,-0.00695921358511542
esol,random,r2,gated_vs_concat,2032,hybrid_gated,hybrid_concat,0.949042803810471,0.9315292574373308,0.017513546373140176
esol,random,r2,gated_vs_concat,2033,hybrid_gated,hybrid_concat,0.9352602229423048,0.9293298207886274,0.005930402153677461
esol,random,r2,gated_vs_concat,2034,hybrid_gated,hybrid_concat,0.9292584074139442,0.9202604884340022,0.008997918979941955
esol,random,r2,gated_vs_concat,2035,hybrid_gated,hybrid_concat,0.9262742614388968,0.9338909060077052,-0.007616644568808395
esol,random,r2,morgan_vs_rdkit_rf,2026,rf_rdkit_morgan,rf_rdkit,0.835389370746495,0.8441445612403564,-0.00875519049386142
esol,random,r2,morgan_vs_rdkit_rf,2027,rf_rdkit_morgan,rf_rdkit,0.8642172960326776,0.8870107801442121,-0.02279348411153448
esol,random,r2,morgan_vs_rdkit_rf,2028,rf_rdkit_morgan,rf_rdkit,0.901761219786623,0.914076310677968,-0.01231509089134497
esol,random,r2,morgan_vs_rdkit_rf,2029,rf_rdkit_morgan,rf_rdkit,0.8829574428816704,0.894427185541282,-0.011469742659611537
esol,random,r2,morgan_vs_rdkit_rf,2030,rf_rdkit_morgan,rf_rdkit,0.89460117540392,0.9024530607891466,-0.00785188538522652
esol,random,r2,morgan_vs_rdkit_rf,2031,rf_rdkit_morgan,rf_rdkit,0.8899343006905122,0.90886225464722,-0.018927953956707877
esol,random,r2,morgan_vs_rdkit_rf,2032,rf_rdkit_morgan,rf_rdkit,0.9022259396180732,0.919300227875382,-0.017074288257308834
esol,random,r2,morgan_vs_rdkit_rf,2033,rf_rdkit_morgan,rf_rdkit,0.9107983515816632,0.916221177237733,-0.005422825656069774
esol,random,r2,morgan_vs_rdkit_rf,2034,rf_rdkit_morgan,rf_rdkit,0.871010682428677,0.8954202019105814,-0.024409519481904396
esol,random,r2,morgan_vs_rdkit_rf,2035,rf_rdkit_morgan,rf_rdkit,0.8789581864855454,0.8928769475690894,-0.013918761083544062
esol,random,r2,xgb_vs_rf_morgan,2026,xgb_rdkit_morgan,rf_rdkit_morgan,0.8509060901898657,0.835389370746495,0.015516719443370741
esol,random,r2,xgb_vs_rf_morgan,2027,xgb_rdkit_morgan,rf_rdkit_morgan,0.9063197702111364,0.8642172960326776,0.042102474178458804
esol,random,r2,xgb_vs_rf_morgan,2028,xgb_rdkit_morgan,rf_rdkit_morgan,0.9032515361225713,0.901761219786623,0.0014903163359482052
esol,random,r2,xgb_vs_rf_morgan,2029,xgb_rdkit_morgan,rf_rdkit_morgan,0.9158527458176208,0.8829574428816704,0.03289530293595033
esol,random,r2,xgb_vs_rf_morgan,2030,xgb_rdkit_morgan,rf_rdkit_morgan,0.9206443952065524,0.89460117540392,0.026043219802632356
esol,random,r2,xgb_vs_rf_morgan,2031,xgb_rdkit_morgan,rf_rdkit_morgan,0.9306548563905812,0.8899343006905122,0.04072055570006905
esol,random,r2,xgb_vs_rf_morgan,2032,xgb_rdkit_morgan,rf_rdkit_morgan,0.9302780919453928,0.9022259396180732,0.028052152327319613
esol,random,r2,xgb_vs_rf_morgan,2033,xgb_rdkit_morgan,rf_rdkit_morgan,0.93153149605641,0.9107983515816632,0.020733144474746723
esol,random,r2,xgb_vs_rf_morgan,2034,xgb_rdkit_morgan,rf_rdkit_morgan,0.931085107231417,0.871010682428677,0.060074424802740056
esol,random,r2,xgb_vs_rf_morgan,2035,xgb_rdkit_morgan,rf_rdkit_morgan,0.9175970264679588,0.8789581864855454,0.038638839982413464
esol,scaffold,rmse,edge_vs_node,2026,edge_gnn,node_gnn,1.3116430192462545,1.2249893159587122,0.0866537032875423
esol,scaffold,rmse,edge_vs_node,2027,edge_gnn,node_gnn,1.1990096968299953,1.1852438826554708,0.013765814174524493
esol,scaffold,rmse,edge_vs_node,2028,edge_gnn,node_gnn,1.176489565959821,1.3194641154780578,-0.14297454951823685
esol,scaffold,rmse,edge_vs_node,2029,edge_gnn,node_gnn,1.0070917781169948,1.0509324268150464,-0.0438406486980516
esol,scaffold,rmse,edge_vs_node,2030,edge_gnn,node_gnn,1.107534439262452,1.163379043159422,-0.05584460389696999
esol,scaffold,rmse,edge_vs_node,2031,edge_gnn,node_gnn,1.185773166199482,1.2507610506290865,-0.06498788442960457
esol,scaffold,rmse,edge_vs_node,2032,edge_gnn,node_gnn,1.1096317177516546,1.1948980444805108,-0.08526632672885626
esol,scaffold,rmse,edge_vs_node,2033,edge_gnn,node_gnn,1.3788275986675265,1.3313197088665256,0.04750788980100085
esol,scaffold,rmse,edge_vs_node,2034,edge_gnn,node_gnn,1.261433174922406,1.2585641794417153,0.0028689954806906393
esol,scaffold,rmse,edge_vs_node,2035,edge_gnn,node_gnn,1.094990579718546,1.284755812530675,-0.1897652328121291
esol,scaffold,rmse,concat_vs_edge,2026,hybrid_concat,edge_gnn,0.8749741282676773,1.3116430192462545,-0.4366688909785772
esol,scaffold,rmse,concat_vs_edge,2027,hybrid_concat,edge_gnn,0.9234416695338958,1.1990096968299953,-0.2755680272960994
esol,scaffold,rmse,concat_vs_edge,2028,hybrid_concat,edge_gnn,0.8864045128260963,1.176489565959821,-0.29008505313372457
esol,scaffold,rmse,concat_vs_edge,2029,hybrid_concat,edge_gnn,0.8690790674149523,1.0070917781169948,-0.13801271070204246
esol,scaffold,rmse,concat_vs_edge,2030,hybrid_concat,edge_gnn,0.8179289300719033,1.107534439262452,-0.2896055091905487
esol,scaffold,rmse,concat_vs_edge,2031,hybrid_concat,edge_gnn,0.9339569816679518,1.185773166199482,-0.2518161845315301
esol,scaffold,rmse,concat_vs_edge,2032,hybrid_concat,edge_gnn,0.8214411006669781,1.1096317177516546,-0.2881906170846765
esol,scaffold,rmse,concat_vs_edge,2033,hybrid_concat,edge_gnn,0.751030688786513,1.3788275986675265,-0.6277969098810134
esol,scaffold,rmse,concat_vs_edge,2034,hybrid_concat,edge_gnn,0.9721859233522704,1.261433174922406,-0.28924725157013553
esol,scaffold,rmse,concat_vs_edge,2035,hybrid_concat,edge_gnn,0.7810918288559244,1.094990579718546,-0.31389875086262153
esol,scaffold,rmse,gated_vs_concat,2026,hybrid_gated,hybrid_concat,0.8407159549792517,0.8749741282676773,-0.03425817328842562
esol,scaffold,rmse,gated_vs_concat,2027,hybrid_gated,hybrid_concat,0.9061975951991756,0.9234416695338958,-0.017244074334720194
esol,scaffold,rmse,gated_vs_concat,2028,hybrid_gated,hybrid_concat,1.0424988979117862,0.8864045128260963,0.15609438508568985
esol,scaffold,rmse,gated_vs_concat,2029,hybrid_gated,hybrid_concat,0.807109615304788,0.8690790674149523,-0.06196945211016436
esol,scaffold,rmse,gated_vs_concat,2030,hybrid_gated,hybrid_concat,0.857551608823426,0.8179289300719033,0.0396226787515227
esol,scaffold,rmse,gated_vs_concat,2031,hybrid_gated,hybrid_concat,0.8593806517887803,0.9339569816679518,-0.07457632987917151
esol,scaffold,rmse,gated_vs_concat,2032,hybrid_gated,hybrid_concat,0.8465975014640045,0.8214411006669781,0.025156400797026413
esol,scaffold,rmse,gated_vs_concat,2033,hybrid_gated,hybrid_concat,0.7691907541317153,0.751030688786513,0.018160065345202314
esol,scaffold,rmse,gated_vs_concat,2034,hybrid_gated,hybrid_concat,0.9477688738933292,0.9721859233522704,-0.024417049458941187
esol,scaffold,rmse,gated_vs_concat,2035,hybrid_gated,hybrid_concat,0.7138739609611392,0.7810918288559244,-0.06721786789478523
esol,scaffold,rmse,morgan_vs_rdkit_rf,2026,rf_rdkit_morgan,rf_rdkit,1.1403367324093387,0.9657817031189704,0.17455502929036837
esol,scaffold,rmse,morgan_vs_rdkit_rf,2027,rf_rdkit_morgan,rf_rdkit,1.2676450032575106,1.1186973890897156,0.148947614167795
esol,scaffold,rmse,morgan_vs_rdkit_rf,2028,rf_rdkit_morgan,rf_rdkit,1.3348973634516548,1.158478122194294,0.17641924125736086
esol,scaffold,rmse,morgan_vs_rdkit_rf,2029,rf_rdkit_morgan,rf_rdkit,1.1649994202018017,0.9444332795288558,0.2205661406729459
esol,scaffold,rmse,morgan_vs_rdkit_rf,2030,rf_rdkit_morgan,rf_rdkit,1.006926690340504,0.8635305859254798,0.14339610441502426
esol,scaffold,rmse,morgan_vs_rdkit_rf,2031,rf_rdkit_morgan,rf_rdkit,1.014507000006795,0.9106666954617618,0.10384030454503324
esol,scaffold,rmse,morgan_vs_rdkit_rf,2032,rf_rdkit_morgan,rf_rdkit,1.1704329446608337,0.988039608705485,0.18239333595534868
esol,scaffold,rmse,morgan_vs_rdkit_rf,2033,rf_rdkit_morgan,rf_rdkit,1.121865228576679,0.9705524274023368,0.1513128011743422
esol,scaffold,rmse,morgan_vs_rdkit_rf,2034,rf_rdkit_morgan,rf_rdkit,1.267737153526667,1.1639301137792266,0.10380703974744043
esol,scaffold,rmse,morgan_vs_rdkit_rf,2035,rf_rdkit_morgan,rf_rdkit,0.9719292209678576,0.84653213343994,0.12539708752791756
esol,scaffold,rmse,xgb_vs_rf_morgan,2026,xgb_rdkit_morgan,rf_rdkit_morgan,0.8550808084134363,1.1403367324093387,-0.2852559239959025
esol,scaffold,rmse,xgb_vs_rf_morgan,2027,xgb_rdkit_morgan,rf_rdkit_morgan,0.9292350731668996,1.2676450032575106,-0.33840993009061104
esol,scaffold,rmse,xgb_vs_rf_morgan,2028,xgb_rdkit_morgan,rf_rdkit_morgan,1.1001200589845828,1.3348973634516548,-0.234777304467072
esol,scaffold,rmse,xgb_vs_rf_morgan,2029,xgb_rdkit_morgan,rf_rdkit_morgan,0.8890232286046131,1.1649994202018017,-0.27597619159718856
esol,scaffold,rmse,xgb_vs_rf_morgan,2030,xgb_rdkit_morgan,rf_rdkit_morgan,0.788870848543129,1.006926690340504,-0.21805584179737503
esol,scaffold,rmse,xgb_vs_rf_morgan,2031,xgb_rdkit_morgan,rf_rdkit_morgan,0.8862241048450828,1.014507000006795,-0.1282828951617122
esol,scaffold,rmse,xgb_vs_rf_morgan,2032,xgb_rdkit_morgan,rf_rdkit_morgan,0.820205580464385,1.1704329446608337,-0.35022736419644873
esol,scaffold,rmse,xgb_vs_rf_morgan,2033,xgb_rdkit_morgan,rf_rdkit_morgan,0.8616896444366439,1.121865228576679,-0.26017558414003517
esol,scaffold,rmse,xgb_vs_rf_morgan,2034,xgb_rdkit_morgan,rf_rdkit_morgan,1.0064331281288683,1.267737153526667,-0.26130402539779873
esol,scaffold,rmse,xgb_vs_rf_morgan,2035,xgb_rdkit_morgan,rf_rdkit_morgan,0.7762581415917021,0.9719292209678576,-0.19567107937615547
esol,scaffold,mae,edge_vs_node,2026,edge_gnn,node_gnn,1.0407323531041013,1.0029352215137266,0.03779713159037468
esol,scaffold,mae,edge_vs_node,2027,edge_gnn,node_gnn,0.9301437070969498,0.9259470645645628,0.0041966425323870515
esol,scaffold,mae,edge_vs_node,2028,edge_gnn,node_gnn,0.9294136584655964,1.0810461122987145,-0.15163245383311807
