dataset,split_strategy,model,n_seeds,target_coverage,coverage_mean,coverage_std,coverage_ci_low,coverage_ci_high,coverage_gap,width_mean,width_std,width_ci_low,width_ci_high
freesolv,random,mean_baseline,10,0.9,0.884375,0.06301868109272572,0.8392941512740418,0.9294558487259582,-0.015625,12.085044562193255,0.916657774033634,11.429307093110395,12.740782031276115
freesolv,random,node_gnn,10,0.9,0.9296875,0.043106628534497,0.8988508755839736,0.9605241244160264,0.029687499999999978,4.860727448819235,1.045502315534731,4.112820147174665,5.608634750463805
freesolv,random,rf_rdkit,10,0.9,0.921875,0.05983919423477113,0.8790686191553788,0.9646813808446212,0.021874999999999978,4.927014154810901,1.1832408924195092,4.080574610970799,5.773453698651003
freesolv,random,rf_rdkit_morgan,10,0.9,0.9140625,0.056216232148236726,0.8738478301041152,0.9542771698958848,0.014062499999999978,5.375876984244885,1.19254568689283,4.52278119141949,6.228972777070279
freesolv,random,xgb_rdkit_morgan,10,0.9,0.9078125,0.049657026818970953,0.8722900029342009,0.9433349970657992,0.0078125,3.9343154654407093,1.4246424618815574,2.915187641769507,4.953443289111911
freesolv,scaffold,edge_gnn,10,0.9,0.9375,0.035961446349983876,0.9117747310042098,0.9632252689957902,0.03749999999999998,8.315320432833207,0.9280591332069322,7.651426922728076,8.979213942938339
freesolv,scaffold,hybrid_concat,10,0.9,0.9464285714285715,0.043740888263985374,0.9151382249348652,0.9777189179222778,0.046428571428571486,6.515602365953032,1.288358185909876,5.593966440275793,7.437238291630271
freesolv,scaffold,hybrid_gated,10,0.9,0.9482142857142858,0.035164417827957,0.9230591765759972,0.9733693948525743,0.048214285714285765,6.615180065162889,1.3043424302465856,5.682109699912379,7.548250430413399
freesolv,scaffold,mean_baseline,10,0.9,0.9357142857142857,0.04702004204317026,0.9020781739188418,0.9693503975097296,0.0357142857142857,16.559432451578516,4.0837544874422536,13.638090476625827,19.480774426531205
freesolv,scaffold,node_gnn,10,0.9,0.9232142857142858,0.05955356399181316,0.8806122324365236,0.9658163389920479,0.023214285714285743,7.658152590602041,1.4659267989431142,6.609491731304704,8.706813449899379
freesolv,scaffold,rf_rdkit,10,0.9,0.9375,0.05471659616324479,0.8983581050624477,0.9766418949375523,0.03749999999999998,9.085732834361645,3.036618661382978,6.913466704088263,11.257998964635027
freesolv,scaffold,rf_rdkit_morgan,10,0.9,0.9410714285714288,0.05774116339417992,0.899765888577601,0.9823769685652566,0.04107142857142876,10.90311476276711,3.2235870408060316,8.597099511071999,13.209130014462222
freesolv,scaffold,xgb_rdkit_morgan,10,0.9,0.9660714285714288,0.017757659393067036,0.9533683642904096,0.978774492852448,0.06607142857142878,12.702789452971293,2.15213509163772,11.163244752548401,14.242334153394186
lipophilicity,random,edge_gnn,10,0.9,0.9016666666666666,0.021326919387285544,0.8864103075995153,0.9169230257338179,0.0016666666666665941,1.8833158597390516,0.13851995569263942,1.784224652817123,1.98240706666098
lipophilicity,random,hybrid_concat,10,0.9,0.9004761904761904,0.0167157252278105,0.8885184809958727,0.9124338999565081,0.0004761904761904079,1.9641185821340936,0.09510673385760929,1.8960833232630578,2.0321538410051296
lipophilicity,random,hybrid_gated,10,0.9,0.9016666666666667,0.013656790856857145,0.8918971870135756,0.9114361463197579,0.0016666666666667052,1.979890244681119,0.1420225177608933,1.8782934557950124,2.081487033567226
lipophilicity,random,mean_baseline,10,0.9,0.8938095238095238,0.021123638722407176,0.8786985829698472,0.9089204646492005,-0.006190476190476191,3.832903501678664,0.15187450857028467,3.7242590231293256,3.9415479802280022
lipophilicity,random,node_gnn,10,0.9,0.8971428571428571,0.021700218222392854,0.8816194561760143,0.9126662581096999,-0.0028571428571428914,1.937531941002312,0.11364710087211323,1.8562337025478923,2.0188301794567316
lipophilicity,random,rf_rdkit,10,0.9,0.8990476190476191,0.023116910139366283,0.8825107777343115,0.9155844603609267,-0.0009523809523809268,2.431906633925636,0.1485870063581789,2.3256138927871794,2.5381993750640928
lipophilicity,random,rf_rdkit_morgan,10,0.9,0.8985714285714286,0.02813153426236559,0.8784473412607977,0.9186955158820594,-0.0014285714285714457,2.509250825535978,0.16889965979668337,2.3884272874813393,2.6300743635906167
lipophilicity,random,xgb_rdkit_morgan,10,0.9,0.8985714285714286,0.02200002290477291,0.8828335602545976,0.9143092968882596,-0.0014285714285714457,2.035259169138123,0.11500330332016925,1.952990761896568,2.1175275763796777
lipophilicity,scaffold,edge_gnn,10,0.9,0.9078571428571427,0.01809976273144884,0.8949093525904503,0.920804933123835,0.007857142857142674,2.203471770554053,0.12287221762810535,2.1155742811196854,2.2913692599884206
lipophilicity,scaffold,hybrid_concat,10,0.9,0.8933333333333333,0.028655080363479035,0.8728347237036678,0.9138319429629989,-0.00666666666666671,2.3502205232593694,0.13366284736835474,2.2546038823203514,2.4458371641983874
lipophilicity,scaffold,hybrid_gated,10,0.9,0.8992857142857144,0.0220814703502604,0.8834895819762788,0.9150818465951499,-0.0007142857142856673,2.3763014560515385,0.11860229054536559,2.2914584884438756,2.4611444236592015
lipophilicity,scaffold,mean_baseline,10,0.9,0.9083333333333332,0.021800129674318023,0.8927384600193685,0.9239282066472979,0.008333333333333193,3.929135332160002,0.15589317266220762,3.8176160744996595,4.040654589820345
lipophilicity,scaffold,node_gnn,10,0.9,0.9128571428571428,0.02418226749030242,0.8955581908054977,0.9301560949087879,0.01285714285714279,2.330852683636364,0.12313213933433749,2.242769257414427,2.418936109858301
lipophilicity,scaffold,rf_rdkit,10,0.9,0.9028571428571428,0.02805530297814058,0.8827875881221346,0.922926697592151,0.0028571428571427804,2.785962165562695,0.13405429556553514,2.6900654994524875,2.881858831672903
lipophilicity,scaffold,rf_rdkit_morgan,10,0.9,0.9035714285714285,0.02677909971238569,0.884414814656023,0.9227280424868339,0.0035714285714284477,2.877303988662895,0.1293860975370428,2.7847467502508905,2.9698612270748996
lipophilicity,scaffold,xgb_rdkit_morgan,10,0.9,0.8842857142857143,0.026848398141066918,0.8650795272607776,0.903491901310651,-0.01571428571428568,2.3107000377190956,0.1538344686331221,2.200653488203345,2.4207465872348464
