dataset,model,metric,n_pairs,random_mean,scaffold_mean,mean_gap,gap_std,ci_low,ci_high
freesolv,rf_rdkit_morgan,r2,10,0.8388754782564838,0.45511368505681044,-0.3837617931996733,0.1515035156019723,-0.4921408793670564,-0.2753827070322902
freesolv,xgb_rdkit_morgan,rmse,10,1.1530186879477162,3.2289875637936327,2.075968875845916,0.7181912879129315,1.56220577821674,2.5897319734750917
freesolv,xgb_rdkit_morgan,mae,10,0.656623782657777,2.63462203053989,1.9779982478821125,0.5168762631020939,1.6082472435305835,2.3477492522336414
freesolv,xgb_rdkit_morgan,r2,10,0.9066868683597107,0.20032008117768774,-0.706366787182023,0.3029931778600427,-0.9231150494315579,-0.489618524932488
lipophilicity,edge_gnn,rmse,10,0.6185197031385876,0.6821891188403406,0.06366941570175315,0.07205060222506862,0.01212751981943145,0.11521131158407485
lipophilicity,edge_gnn,mae,10,0.4412070551717937,0.5164694740417002,0.07526241886990662,0.026533960034008777,0.05628116731635983,0.09424367042345341
lipophilicity,edge_gnn,r2,10,0.7334338941290912,0.6648067904602113,-0.06862710366888007,0.07685339559854246,-0.12360471095895131,-0.013649496378808829
lipophilicity,hybrid_concat,rmse,10,0.6246273645090641,0.744951259325654,0.1203238948165899,0.05610192144941704,0.08019099786853404,0.16045679176464575
lipophilicity,hybrid_concat,mae,10,0.45319592821827764,0.5635795010589091,0.11038357284063142,0.033859395830367775,0.08616202020078503,0.13460512548047782
lipophilicity,hybrid_concat,r2,10,0.7315447843280454,0.6001158100352104,-0.131428974292835,0.05532688977354531,-0.17100744697919631,-0.0918505016064737
lipophilicity,hybrid_gated,rmse,10,0.6219060483782717,0.7518570494906651,0.12995100111239344,0.054544000903311816,0.09093257338597507,0.1689694288388118
lipophilicity,hybrid_gated,mae,10,0.45153474802149596,0.5671934138937523,0.1156586658722563,0.029759803757776444,0.09436978473327318,0.13694754701123943
lipophilicity,hybrid_gated,r2,10,0.7335439504503773,0.5927079114953677,-0.14083603895500948,0.053360578396786165,-0.17900789721868268,-0.10266418069133629
lipophilicity,mean_baseline,rmse,10,1.2098032867833557,1.182293703570978,-0.027509583212377665,0.03801077890769944,-0.05470085640599639,-0.00031831001875894105
lipophilicity,mean_baseline,mae,10,0.9826385537222118,0.9600240591803784,-0.022614494541833195,0.03592370057265207,-0.048312761835137136,0.0030837727514707453
lipophilicity,mean_baseline,r2,10,-0.0013094862686776163,-0.005403543639148261,-0.004094057370470644,0.00535793711058464,-0.007926894684378578,-0.00026122005656270975
lipophilicity,node_gnn,rmse,10,0.632071934625046,0.7025736416882824,0.07050170706323654,0.06715750223326664,0.02246012405174188,0.11854329007473119
lipophilicity,node_gnn,mae,10,0.45844810301323696,0.5336478642497912,0.07519976123655428,0.028009891265574644,0.05516269208374297,0.09523683038936559
lipophilicity,node_gnn,r2,10,0.723668934458231,0.6440139298777601,-0.07965500458047085,0.07048314941134047,-0.13007561226768127,-0.029234396893260448
lipophilicity,rf_rdkit,rmse,10,0.7441678212592293,0.8391432820183242,0.09497546075909494,0.03536615514131805,0.06967603744049804,0.12027488407769184
lipophilicity,rf_rdkit,mae,10,0.5725534979384284,0.6644034615028198,0.09184996356439139,0.02547687306707394,0.0736249064728717,0.11007502065591107
lipophilicity,rf_rdkit,r2,10,0.6206073908519827,0.4931045671516525,-0.12750282370033028,0.042248109824137875,-0.15772530082798114,-0.09728034657267942
lipophilicity,rf_rdkit_morgan,rmse,10,0.766416318748417,0.8677614291357019,0.10134511038728491,0.035854081505799,0.07569664557424277,0.12699357520032706
lipophilicity,rf_rdkit_morgan,mae,10,0.5907984191130676,0.6896438780120528,0.09884545889898513,0.026574195133581207,0.07983542488909608,0.11785549290887419
lipophilicity,rf_rdkit_morgan,r2,10,0.597698976057853,0.4581974251080541,-0.13950155094979905,0.041189016115850394,-0.16896639807913766,-0.11003670382046044
lipophilicity,xgb_rdkit_morgan,rmse,10,0.639352891573895,0.7421561989387582,0.1028033073648631,0.04401826970969351,0.07131453413837648,0.13429208059134973
lipophilicity,xgb_rdkit_morgan,mae,10,0.4781833516458368,0.5705024228231712,0.09231907117733455,0.02996427036139665,0.07088392344140773,0.11375421891326137
lipophilicity,xgb_rdkit_morgan,r2,10,0.7197680026057515,0.6034674879213286,-0.11630051468442275,0.04204180593673605,-0.14637541090148848,-0.08622561846735702
